name,address,city,state,zipcode,ethash
INFINITI OF VALENCIA,24055 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,A9135509501610BCA9217EB3BC7D3F540503E62F72B3C52A8A0000
PENINSULA INFINITI,386 CONVENTION WAY,REDWOOD CITY,CA,94063,A9406314051110FCAA453D54063A02604F0C66E8C57DB4CFCE0000
INFINITI OF WILLIAMSVILLE,8137 MAIN ST,WILLIAMSVILLE,NY,14221,A142216032BCE65A4F95BD8D4436CDF0502E30731111CF19EC0000
LOUISVILLE INFINITI,8 AUTOCENTER DR,LOUISVILLE,KY,40299,A402991862C7B8AF8C75AE3E6267B92E2FEFAD3B286B5B97280000
BENNETT INFINITI OF ALLENTOWN,2121 LEHIGH STREET,ALLENTOWN,PA,18103,A181034758A287C6D387DC740ECF1213337353FA97341B80FE0000
SALERNO*DUANE INFINITI OF DENVILLE,3103 ROUTE 10,DENVILLE,NJ,07834,A07834342577312BACA0F09B9BFA5AF4F4D0690033EE1637640000
SUBURBAN INFINITI,24355 HAGGERTY RD,NOVI,MI,48375,A48375212433EC8260933B605E7D22208B5E2F56FAEB0758D40000
INFINITI OF LUBBOCK,6225 SPUR 327,LUBBOCK,TX,79424,A794242747950F3A514A28199CCAFD31CEC2BAC50792D4EB640000
PASSPORT INFINITI OF ALEXANDRIA,160 S PICKETT ST,ALEXANDRIA,VA,22304,A22304301097F1EFD3718ADC8A287042FC88B865ABF51261A90000
INFINITI OF AKRON,3332 S ARLINGTON ROAD,AKRON,OH,44312,A443125866322C9ED9D898284EA91093413B58A975B99CF0D10000
HERRINGEAR INFINITI,1685 HIGH ST,JACKSON,MS,39202,A392023597FD9B99EF9A7CDFBCFD8BB6539234407C314C7C600000
INFINITI OF CORAL GABLES,2701  S LE JEUNE RD,CORAL GABLES,FL,33134,A331345809347B8B1E1B482ADC65FB01B494A2FED13DEC32F00000
ORANGE COAST INFINITI,15550 BEACH BLVD,WESTMINSTER,CA,92683,A926837197234A2E1CB2B723DC5521A647FCA2F3DC246C3D5F0000
INFINITI OF WEST CHESTER,1265 WILMINGTON PIKE,WEST CHESTER,PA,19382,A193828446297B394E4648265699616BDB13CB549CA2522E230000
DREYER  REINBOLD OF GREENWOOD,1305S 31 SOUTH,GREENWOOD,IN,46143,A4614324149E0BCDC4B65A144C4B8E00BA33F3EE95DE8087410000
INFINITI OF THOUSAND OAKS,3570 E THOUSAND OAKS BLVD,WESTLAKE VILLAGE,CA,91362,A913623622956C2A716B4147EC4699CCE1A2CA34A923ABA4640000
INFINITI OF ORLAND PARK,8751 W 159TH STREET,ORLAND PARK,IL,60462,A604624872D5A00202C976ACE83D169861906E42C9557F84A10000
RED NOLAND INFINITI,425 MOTOR WORLD PARKWAY,COLORADO SPRINGS,CO,80905,A809057012D3ED4E5A475C233EFC9034FA739D0FDA9B840D970000
DAYTONA INFINITI,980 N TOMOKA FARMS RD,DAYTONA BEACH,FL,32124,A321242003B0A8F3E8E2C584AC0080BBF5A2CBAED7FC699A220000
TIM DAHLE INFINITI,4594 S STATE ST,MURRAY,UT,84107,A8410738143550A804E33EAEA5467D6FA3919446C00A094E460000
