"buckloc_id","name","address","city","state","zipcode"
"65XY36BGYG9w7s5X5","Nissan of Rockwall","1700 E INTERSTATE 30","ROCKWALL","TX","75087"
"69sR4uBf5CTtZmLmp","Sullivan Brothers Nissan","1 CRANBERRY RD","KINGSTON","MA","02364"
"6AS8tFuRwqQFirYib","Hudson Nissan","585 state route 440","JERSEY CITY","NJ","07305"
"6B2D8rqP92kLeYac5","Nissan of Midland","4800 W LOOP 250","MIDLAND","TX","79707"
"6BHvc2x7TBmh7GoeE","Steven Nissan","2275 E MARKET ST","HARRISONBURG","VA","22801"
"6BTjbR43ofTn4BE8F","Gates Nissan","4098 ATWOOD DR","RICHMOND","KY","40475"
"6EDbbQtygiK53hFtk","Nissan of Atlantic City","6021 BLACK HORSE PIKE","EGG HARBOR TOWNSHIP","NJ","08234"
"6EoYMAzQkDdNRqxgk","Sutherlin Nissan of Fort Pierce","4815 SOUTH US HIGHWAY #1","FORT PIERCE","FL","34982"
"6FHXC5CdFkho6zt8y","Moses Nissan St Albans","300 MACCORKLE AVE","SAINT ALBANS","WV","25177"
"6GQgYMvuhoDZqY7HP","Palmetto 57 Nissan","16725 NW 57TH AVE","MIAMI GARDENS","FL","33055"
"6J2xcrEP9hk6q8hxM","Community Nissan of Bloomington","2200 SOUTH WALNUT STREET","BLOOMINGTON","IN","47401"
"6LcC93LDFJrqf7KtD","Langway Nissan of Newport","295 EAST MAIN ROAD","MIDDLETOWN","RI","02842"
"6MX5yEKywtp7n65ZG","Wallace Nissan Mitsubishi Kingsport","2733 E STONE DR","KINGSPORT","TN","37660"
"6NBMZXWhT4bzRHnXD","Nissan of San Juan Capistrano","33633 CAMINO CAPISTRANO","SAN JUAN CAPISTRANO","CA","92675"
"6TKpx49WNrokBaRWm","Deery Brothers Toyota Nissan","200 S GEAR AVE","WEST BURLINGTON","IA","52655"
"6WkEZuj3JbcSniZNQ","Dartmouth Nissan","483 STATE RD","NORTH DARTMOUTH","MA","02747"
"6X4pDG8Rvu7uGLZZh","MIKE Erdman Cadillac Nissan","445 E MERRITT ISLAND CSWY","MERRITT ISLAND","FL","32952"
"6X95Y6sRWYyvhDdrw","West Covina Nissan","205 N CITRUS ST","WEST COVINA","CA","91791"
"6bv5MqWwbCLCekc2p","Metro Nissan of Dallas","4707 LBJ FREEWAY","FARMERS BRANCH","TX","75244"
"6dzqQuBT2z2A9iqAn","Nissan of Torrance","20550 HAWTHORNE BLVD","TORRANCE","CA","90503"
"6fanhryp8AvM5xdRf","Rountree-moore Nissan","4262 WEST US 90","LAKE CITY","FL","32055"
"6h7DoFxaSgWsaoj8d","Peruzzi Nissan","165 LINCOLN HWY","FAIRLESS HILLS","PA","19030"
"6hdqRau6KbN3PEhmb","Carlock Nissan of Tupelo","3969 N GLOSTER ST","TUPELO","MS","38804"
"6kjvqwiyEs4SNXx3h","Cannon Ford of Blytheville","305 N SERVICE RD","BLYTHEVILLE","AR","72315"
"6mh4zYRCnsBmaPb36","Vaden Nissan of Statesboro","686 BRANNEN ST","STATESBORO","GA","30458"
"6qyLFqxqKMs9XA6zu","Nissan of Bakersfield","2800 PACHECO RD","BAKERSFIELD","CA","93313"
"6y32kTR2j72MK7XL2","Kings Nissan","2758 CONEY ISLAND AVE","BROOKLYN","NY","11235"
"6yY6JpRZBsE79525W","Jackie Cooper Nissan","9898 S MEMORIAL DR","TULSA","OK","74133"
"75E96eyvg8BcxZHMQ","Frank Fletcher Nissan","2327 S RANGE LINE RD","JOPLIN","MO","64804"
"786GWMq3m6YQFcwB5","Mossy Nissan","12150 KATY FWY","HOUSTON","TX","77079"
"7AdqFWKbSS8SEMpii","Walt Massey Nissan","600 West Bypass","ANDALUSIA","AL","36420"
"7Asv6PRRQhHPC2pNp","Mike Barney Nissan","3676 SHERIDAN DR","AMHERST","NY","14226"
"7DHviTQZTYCGZZ7ey","Lancaster Nissan","5340 MANHEIM PIKE","EAST PETERSBURG","PA","17520"
"7Qf4sqSahiAMhHYKM","Byerly Nissan","4027 DIXIE HWY","LOUISVILLE","KY","40216"
"7ZGYDQJ2SfmQTM8D7","Apple Nissan","1510 WHITEFORD RD","YORK","PA","17402"
"7fyJJ4Js7YiX9hXKt","Deacon Jones Nissan","3305 MCLAIN STREET","GOLDSBORO","NC","27534"
"7gLLnnk3YxFMysvRn","Krenzen Auto Mall","2500 Mall Drive","DULUTH","MN","55811"
"7gpFRZKXkkTPM5J7A","Garden Grove Nissan","9222 TRASK AVE","GARDEN GROVE","CA","92844"
"7iNTYkivsyxjj7WQD","Metro Nissan of Montclair","9440 AUTOPLEX DRIVE","MONTCLAIR","CA","91763"
"7jfZLj3csRDtZJ3dv","Treiber Nissan","320 N COMRIE AVE","JOHNSTOWN","NY","12095"
"7nADxP3XigpkX3eg4","Bert Ogden Nissan (TX) (S1)","721 N JACKSON RD","MCALLEN","TX","78501"
